1.00	1.00	1.00	203.00
2.00	2.00	2.00	177.00
3.00	1.00	1.00	155.00
4.00	2.00	2.00	146.00
5.00	2.00	2.00	171.00
6.00	1.00	1.00	156.00
7.00	2.00	2.00	126.00
8.00	2.00	2.00	173.00
9.00	2.00	2.00	137.00
10.00	2.00	2.00	128.00
11.00	1.00	1.00	119.00
12.00	2.00	2.00	102.00
13.00	2.00	1.00	134.00
14.00	2.00	2.00	133.00
15.00	2.00	1.00	168.00
16.00	1.00	1.00	179.00
17.00	1.00	1.00	171.00
18.00	1.00	1.00	139.00
19.00	2.00	2.00	82.90
20.00	1.00	1.00	100.00
21.00	1.00	2.00	187.00
22.00	1.00	1.00	149.00
23.00	1.00	2.00	153.00
24.00	1.00	1.00	166.00
25.00	2.00	2.00	131.00
26.00	1.00	1.00	154.00
27.00	2.00	2.00	131.00
28.00	2.00	2.00	179.00
29.00	1.00	1.00	113.00
30.00	1.00	1.00	118.00
31.00	2.00	2.00	92.80
32.00	1.00	1.00	103.00
33.00	1.00	1.00	150.00
34.00	2.00	1.00	146.00
35.00	2.00	1.00	206.00
36.00	1.00	1.00	199.00
37.00	1.00	2.00	162.00
38.00	2.00	2.00	179.00
39.00	2.00	1.00	147.00
40.00	1.00	2.00	170.00
41.00	2.00	1.00	156.00
42.00	2.00	2.00	155.00
43.00	2.00	1.00	183.00
44.00	1.00	1.00	178.00
45.00	1.00	1.00	178.00
46.00	1.00	2.00	154.00
47.00	1.00	2.00	149.00
48.00	1.00	2.00	178.00
49.00	1.00	1.00	146.00
50.00	2.00	2.00	108.00
51.00	2.00	1.00	144.00
52.00	2.00	2.00	153.00
53.00	1.00	2.00	161.00
54.00	1.00	1.00	171.00
55.00	1.00	1.00	163.00
56.00	2.00	2.00	157.00
57.00	2.00	2.00	161.00
58.00	2.00	1.00	181.00
59.00	1.00	2.00	183.00
60.00	2.00	1.00	165.00
61.00	2.00	2.00	132.00
62.00	1.00	2.00	112.00
63.00	2.00	2.00	173.00
64.00	1.00	1.00	205.00
65.00	2.00	2.00	101.00
66.00	1.00	1.00	189.00
67.00	1.00	1.00	176.00
68.00	1.00	2.00	158.00
69.00	2.00	2.00	139.00
70.00	1.00	2.00	94.90
71.00	2.00	2.00	180.00
72.00	2.00	2.00	144.00
73.00	1.00	2.00	175.00
74.00	2.00	2.00	186.00
75.00	1.00	1.00	145.00
76.00	2.00	2.00	159.00
77.00	2.00	2.00	189.00
78.00	1.00	1.00	122.00
79.00	2.00	1.00	116.00
80.00	2.00	2.00	143.00
81.00	2.00	2.00	153.00
82.00	1.00	1.00	149.00
83.00	2.00	1.00	107.00
84.00	1.00	1.00	151.00
85.00	1.00	1.00	172.00
86.00	2.00	2.00	143.00
87.00	1.00	1.00	166.00
88.00	2.00	2.00	148.00
89.00	2.00	1.00	185.00
90.00	2.00	1.00	173.00
91.00	2.00	1.00	185.00
92.00	1.00	1.00	146.00
93.00	1.00	1.00	113.00
94.00	1.00	1.00	130.00
95.00	2.00	2.00	117.00
96.00	2.00	1.00	186.00
97.00	1.00	2.00	136.00
98.00	1.00	1.00	144.00
99.00	2.00	2.00	158.00
100.00	1.00	2.00	113.00
101.00	1.00	1.00	114.00
102.00	2.00	2.00	167.00
103.00	1.00	1.00	125.00
104.00	1.00	1.00	186.00
105.00	1.00	1.00	177.00
106.00	2.00	1.00	140.00
107.00	2.00	2.00	163.00
108.00	2.00	2.00	179.00
109.00	2.00	2.00	182.00
110.00	2.00	2.00	174.00
111.00	1.00	2.00	161.00
112.00	2.00	1.00	161.00
113.00	1.00	2.00	146.00
114.00	1.00	1.00	115.00
115.00	2.00	2.00	178.00
116.00	2.00	2.00	194.00
117.00	1.00	1.00	122.00
118.00	2.00	2.00	129.00
119.00	1.00	1.00	170.00
120.00	1.00	1.00	167.00
121.00	2.00	2.00	116.00
122.00	2.00	2.00	212.00
123.00	2.00	2.00	175.00
124.00	2.00	2.00	151.00
125.00	1.00	1.00	126.00
126.00	1.00	1.00	102.00
127.00	1.00	1.00	123.00
128.00	2.00	2.00	159.00
129.00	1.00	1.00	148.00
130.00	2.00	2.00	147.00
131.00	1.00	1.00	103.00
132.00	1.00	1.00	161.00
133.00	2.00	1.00	181.00
134.00	2.00	1.00	122.00
135.00	1.00	1.00	122.00
136.00	2.00	2.00	185.00
137.00	2.00	2.00	195.00
138.00	1.00	1.00	114.00
139.00	2.00	2.00	119.00
140.00	2.00	1.00	155.00
141.00	1.00	1.00	242.00
142.00	2.00	2.00	133.00
143.00	1.00	2.00	154.00
144.00	1.00	1.00	196.00
145.00	2.00	2.00	99.20
146.00	1.00	1.00	145.00
147.00	2.00	2.00	158.00
148.00	2.00	2.00	186.00
149.00	1.00	1.00	135.00
150.00	1.00	2.00	141.00
151.00	1.00	1.00	140.00
152.00	1.00	1.00	133.00
153.00	2.00	1.00	197.00
154.00	2.00	2.00	181.00
155.00	1.00	2.00	152.00
156.00	1.00	2.00	85.10
157.00	1.00	2.00	169.00
158.00	2.00	2.00	180.00
159.00	2.00	1.00	155.00
160.00	1.00	1.00	157.00
161.00	1.00	1.00	173.00
162.00	2.00	2.00	170.00
163.00	1.00	1.00	128.00
164.00	2.00	2.00	185.00
165.00	1.00	1.00	161.00
166.00	1.00	1.00	166.00
167.00	1.00	1.00	144.00
168.00	1.00	2.00	115.00
169.00	1.00	2.00	211.00
170.00	1.00	2.00	181.00
171.00	2.00	2.00	149.00
172.00	2.00	1.00	114.00
173.00	1.00	1.00	166.00
174.00	2.00	1.00	144.00
175.00	2.00	2.00	151.00
176.00	2.00	2.00	154.00
177.00	1.00	2.00	150.00
178.00	2.00	2.00	167.00
179.00	2.00	2.00	178.00
